origination_month,score_band_v2,nb_clients,months_since_origination,clients_on_default
2018-03,5.0,13866,1,12
2018-03,5.0,13866,2,60
2018-03,5.0,13866,3,111
2018-03,5.0,13866,4,138
2018-03,5.0,13866,5,174
2018-03,5.0,13866,6,195
2018-03,5.0,13866,7,174
2018-03,5.0,13866,8,162
2018-03,5.0,13866,9,177
2018-03,5.0,13866,10,198
2018-03,5.0,13866,11,183
2018-03,5.0,13866,12,195
2018-03,5.0,13866,13,180
2018-03,5.0,13866,14,189
2018-03,6.0,9780,0,0
2018-03,6.0,9780,1,0
2018-03,6.0,9780,2,18
2018-03,6.0,9780,3,21
2018-03,6.0,9780,4,48
2018-03,6.0,9780,5,66
2018-03,6.0,9780,6,78
2018-03,6.0,9780,7,63
2018-03,6.0,9780,8,75
2018-03,6.0,9780,9,75
2018-03,6.0,9780,10,90
2018-03,6.0,9780,11,84
2018-03,6.0,9780,12,78
2018-03,6.0,9780,13,90
2018-03,6.0,9780,14,69
2018-03,7.0,8871,0,0
2018-03,7.0,8871,1,6
2018-03,7.0,8871,2,9
2018-03,7.0,8871,3,3
2018-03,7.0,8871,4,15
2018-03,7.0,8871,5,18
2018-03,7.0,8871,6,36
2018-03,7.0,8871,7,27
2018-03,7.0,8871,8,39
2018-03,7.0,8871,9,54
2018-03,7.0,8871,10,45
2018-03,7.0,8871,11,48
2018-03,7.0,8871,12,36
2018-03,7.0,8871,13,51
2018-03,7.0,8871,14,33
2018-04,1.0,10074,0,0
2018-04,1.0,10074,1,15
2018-04,1.0,10074,2,126
2018-04,1.0,10074,3,198
2018-04,1.0,10074,4,270
2018-04,1.0,10074,5,363
2018-04,1.0,10074,6,426
2018-04,1.0,10074,7,387
2018-04,1.0,10074,8,396
2018-04,1.0,10074,9,429
2018-04,1.0,10074,10,399
2018-04,1.0,10074,11,384
2018-04,1.0,10074,12,375
2018-04,1.0,10074,13,366
2018-04,2.0,13338,0,0
2018-04,2.0,13338,1,0
2018-04,2.0,13338,2,99
2018-04,2.0,13338,3,195
2018-04,2.0,13338,4,261
2018-04,2.0,13338,5,342
2018-04,2.0,13338,6,435
2018-04,2.0,13338,7,459
2018-04,2.0,13338,8,453
2018-04,2.0,13338,9,459
2018-04,2.0,13338,10,465
2018-04,2.0,13338,11,444
2018-04,2.0,13338,12,417
2018-04,2.0,13338,13,390
2018-04,3.0,9726,0,0
2018-04,3.0,9726,1,3
2018-04,3.0,9726,2,75
2018-04,3.0,9726,3,114
2018-04,3.0,9726,4,144
2018-04,3.0,9726,5,222
2018-04,3.0,9726,6,231
2018-04,3.0,9726,7,258
2018-04,3.0,9726,8,255
2018-04,3.0,9726,9,282
2018-04,3.0,9726,10,264
2018-04,3.0,9726,11,276
2018-04,3.0,9726,12,249
2018-04,3.0,9726,13,255
2018-04,4.0,8550,0,0
2018-04,4.0,8550,1,18
2018-04,4.0,8550,2,39
2018-04,4.0,8550,3,81
2018-04,4.0,8550,4,111
2018-04,4.0,8550,5,141
2018-04,4.0,8550,6,186
2018-04,4.0,8550,7,180
2018-04,4.0,8550,8,195
2018-04,4.0,8550,9,201
2018-04,4.0,8550,10,195
2018-04,4.0,8550,11,204
2018-04,4.0,8550,12,186
2018-04,4.0,8550,13,189
2018-04,5.0,6429,0,0
2018-04,5.0,6429,1,6
2018-04,5.0,6429,2,15
2018-04,5.0,6429,3,45
2018-04,5.0,6429,4,75
2018-04,5.0,6429,5,90
2018-04,5.0,6429,6,87
2018-04,5.0,6429,7,78
2018-04,5.0,6429,8,99
2018-04,5.0,6429,9,96
2018-04,5.0,6429,10,78
2018-04,5.0,6429,11,90
2018-04,5.0,6429,12,84
2018-04,5.0,6429,13,84
2018-04,6.0,9978,0,0
2018-04,6.0,9978,1,0
2018-04,6.0,9978,2,39
2018-04,6.0,9978,3,39
2018-04,6.0,9978,4,51
2018-04,6.0,9978,5,63
2018-04,6.0,9978,6,93
2018-04,6.0,9978,7,93
2018-04,6.0,9978,8,84
2018-04,6.0,9978,9,99
2018-04,6.0,9978,10,111
2018-04,6.0,9978,11,84
2018-04,6.0,9978,12,99
2018-04,6.0,9978,13,93
2018-04,7.0,7974,0,0
2018-04,7.0,7974,1,0
2018-04,7.0,7974,2,0
2018-04,7.0,7974,3,12
2018-04,7.0,7974,4,27
2018-04,7.0,7974,5,18
2018-04,7.0,7974,6,9
2018-04,7.0,7974,7,30
2018-04,7.0,7974,8,30
2018-04,7.0,7974,9,39
2018-04,7.0,7974,10,30
2018-04,7.0,7974,11,36
2018-04,7.0,7974,12,18
2018-04,7.0,7974,13,33
2018-05,1.0,12450,0,0
2018-05,1.0,12450,1,12
2018-05,1.0,12450,2,111
2018-05,1.0,12450,3,261
2018-05,1.0,12450,4,324
2018-05,1.0,12450,5,390
2018-05,1.0,12450,6,513
2018-05,1.0,12450,7,510
2018-05,1.0,12450,8,492
2018-05,1.0,12450,9,504
2018-05,1.0,12450,10,501
2018-05,1.0,12450,11,453
2018-05,1.0,12450,12,432
2018-05,2.0,13233,0,0
2018-05,2.0,13233,1,6
2018-05,2.0,13233,2,102
2018-05,2.0,13233,3,204
2018-05,2.0,13233,4,243
2018-05,2.0,13233,5,333
2018-05,2.0,13233,6,414
2018-05,2.0,13233,7,441
2018-05,2.0,13233,8,423
2018-05,2.0,13233,9,435
2018-05,2.0,13233,10,405
2018-05,2.0,13233,11,381
2018-05,2.0,13233,12,399
2018-05,3.0,13386,0,0
2018-05,3.0,13386,1,15
2018-05,3.0,13386,2,75
2018-05,3.0,13386,3,135
2018-05,3.0,13386,4,213
2018-05,3.0,13386,5,252
2018-05,3.0,13386,6,315
2018-05,3.0,13386,7,354
2018-05,3.0,13386,8,354
2018-05,3.0,13386,9,369
2018-05,3.0,13386,10,363
2018-05,3.0,13386,11,363
2018-05,3.0,13386,12,339
2018-05,4.0,7557,0,0
2018-05,4.0,7557,1,9
2018-05,4.0,7557,2,33
